id,nightly_rate_quoted,cleaning_fee,rating_value,rating_cleanliness,rating_overall,before_you_leave
53088130,30.0,,5.0,4.9,4.94,
858632199612245634,95.0,50.0,4.7,4.7,4.67,"['Gather used towels', 'Throw trash away', 'Lock up', 'Additional requests - Please make sure that windows and doors are locked.  \nPlease set the thermostat back to 70 degrees.\nPlease put any dirty dishes in the dishwasher.\nTHANK YOU SO MUCH!']"
924489402139550629,0.2,,,,,
929036802217461031,115.0,,,,,
46586609,34.4,19.0,4.9,4.9,4.85,
728816260875092245,80.0,50.0,5.0,5.0,4.94,
713996210857042030,100.0,70.0,5.0,5.0,4.97,
651516004266418167,104.6,65.0,5.0,5.0,4.98,
39951091,82.4,,,,,
565109007790306165,155.6,40.0,4.8,4.8,4.81,
50583832,150.0,100.0,4.9,4.9,4.97,
892271779998698604,130.0,185.0,,,,
21363434,100.4,75.0,5.0,5.0,4.95,
52457082,118.2,65.0,5.0,5.0,4.99,"['Gather used towels', 'Turn things off']"
785806399499549435,25.8,25.0,4.7,4.7,4.67,
861543114708802639,105.4,60.0,4.9,4.9,4.84,
914583027305454912,175.0,50.0,5.0,5.0,5.0,
29101951,33.4,19.0,4.9,5.0,4.92,
1450188,48.0,10.0,5.0,5.0,4.97,
46641932,34.0,19.0,4.8,4.9,4.85,
6167778,50.0,25.0,4.9,4.9,4.87,
868102158508081593,37.0,25.0,5.0,5.0,5.0,
861610571009136713,99.0,60.0,5.0,4.9,4.95,
24349382,59.0,37.0,4.9,4.9,4.87,"['Gather used towels', 'Throw trash away', 'Turn things off', 'Lock up']"
53088128,36.0,,4.9,4.9,4.95,
2489456,48.0,10.0,5.0,5.0,4.96,
565109167476109419,113.8,40.0,4.6,4.7,4.72,"['Gather used towels', 'Throw trash away', 'Turn things off']"
47119004,85.4,105.0,4.9,4.9,4.86,"['Gather used towels', 'Throw trash away', 'Lock up']"
787202150789500210,21.166666666666668,25.0,5.0,4.8,5.0,
785392075512247687,25.4,25.0,4.5,4.8,4.0,
671050375049555271,80.0,20.0,4.7,4.7,4.71,
862331547899911661,85.2,,4.7,4.5,4.47,
924230806680177452,95.0,100.0,,,,['Gather used towels']
893551628319822094,155.0,90.0,4.8,5.0,4.75,['Return keys']
931103749584538768,0.14285714285714285,,,,,
19451682,129.14285714285714,45.0,4.8,4.7,4.73,
16067822,147.33333333333334,50.0,4.8,5.0,4.95,
34757329,0.2,65.0,4.7,4.8,4.77,
15124351,133.2,50.0,4.8,4.5,4.75,
45911658,89.0,65.0,4.9,5.0,4.91,
926615502619192739,0.4,200.0,,,,"['Gather used towels', 'Throw trash away', 'Turn things off', 'Return keys', 'Lock up', 'Additional requests - message us with what time you are leaving, we offer a late checkout (after 10 before noon) for $30, but we require 24 hours notice, our cleaners will arrive otherwise between 1015 and 1030']"
17919559,127.28571428571429,100.0,4.8,4.9,4.89,
40141246,84.2,98.0,4.8,4.8,4.84,"['Gather used towels', 'Lock up']"
560906754496483266,89.16666666666667,95.0,4.9,5.0,4.95,
701637771868047136,0.2,140.0,4.8,4.9,4.93,"['Gather used towels', 'Throw trash away', 'Turn things off', 'Lock up']"
48803071,0.16666666666666666,160.0,4.8,5.0,4.91,
699179115522453334,0.2,149.0,5.0,4.9,4.96,['Additional requests - - Leave any used beds unmade. \n- All used washcloths and towels can be placed on the bathroom floor.\n- Take out any trash.\n- Ensure all dishes have been washed or placed in running dishwasher.\n- Please discard any food or drink that you have in the fridge. \n- Leave the TV remotes on the end table.\n- Make sure all doors are locked before leaving. \n- Message if something is broken or not working!']
52898056,0.2,125.0,4.8,4.5,4.93,
772094943127679868,55.0,100.0,5.0,5.0,5.0,
857908869215815165,117.8,30.0,5.0,5.0,4.96,
49615185,174.0,129.0,4.9,4.9,4.91,"['Gather used towels', 'Throw trash away', 'Lock up']"
37677701,99.0,98.0,4.8,4.9,4.87,"['Gather used towels', 'Throw trash away', 'Lock up']"
902934715568197266,157.0,50.0,4.8,5.0,4.91,
755705277939617635,104.0,,4.7,4.9,4.67,
24285353,48.0,10.0,5.0,5.0,4.96,
53662242,123.0,30.0,4.7,4.5,4.65,
48071665,89.2,140.0,4.7,4.7,4.8,
23501515,49.0,37.0,4.9,4.9,4.85,"['Gather used towels', 'Throw trash away', 'Turn things off', 'Lock up']"
850760647432811806,44.4,25.0,5.0,5.0,5.0,"['Lock up', 'Additional requests - Place all sheets and towels in a pile on the floor.']"
45431815,122.4,75.0,4.9,5.0,4.94,
51783306,76.0,150.0,4.5,4.5,4.31,
44373786,102.5,75.0,4.9,4.9,4.95,
921543280409946998,115.2,25.0,,,,
760072567577192769,0.2,160.0,4.9,4.7,4.76,
47314860,145.83333333333334,75.0,4.8,4.8,4.96,
684735339544021496,0.16666666666666666,100.0,4.8,4.8,4.86,
677492918790970890,105.6,50.0,5.0,5.0,4.95,"['Gather used towels', 'Turn things off']"
5487261,48.0,25.0,4.9,4.9,4.89,
49760742,96.4,,5.0,4.9,4.91,
37907171,82.8,37.0,4.8,4.8,4.78,"['Gather used towels', 'Throw trash away', 'Turn things off', 'Lock up']"
745730214656191774,123.0,,4.7,4.8,4.76,"['Gather used towels', 'Turn things off']"
738412708244509699,122.2,95.0,4.8,4.9,4.95,
720122760162860099,84.4,65.0,4.8,4.7,4.79,
787958923885501850,22.8,25.0,,,,
34057094,89.0,98.0,4.9,4.9,4.86,"['Gather used towels', 'Throw trash away', 'Lock up']"
29101372,27.5,19.0,4.9,4.9,4.86,
28871754,96.0,50.0,4.9,4.9,4.92,
40812311,52.2,15.0,4.9,4.8,4.86,
41841014,76.33333333333333,60.0,4.7,4.6,4.71,
774650338612922734,117.6,50.0,4.7,5.0,4.96,
606384419321470672,113.4,100.0,4.7,4.8,4.73,
754143531844764866,114.6,25.0,5.0,5.0,5.0,
834035842122757362,92.0,105.0,4.9,5.0,4.87,
923869524355839509,95.0,100.0,,,,
616901883080081669,77.0,85.0,5.0,5.0,5.0,
757832315239870231,66.4,65.0,4.7,4.8,4.59,
32961476,94.8,20.0,4.8,4.8,4.74,"['Turn things off', 'Return keys', 'Lock up']"
47112046,58.8,19.0,4.8,4.8,4.84,
34929699,58.0,37.0,4.8,5.0,4.83,"['Gather used towels', 'Throw trash away', 'Turn things off', 'Lock up']"
41503968,68.0,60.0,4.9,5.0,4.94,
21579642,59.0,32.0,4.9,4.9,4.83,"['Gather used towels', 'Throw trash away', 'Turn things off', 'Lock up']"
22263766,65.0,,5.0,5.0,4.95,
699285223305854901,0.2,75.0,4.7,5.0,4.81,
721928194941348710,163.4,125.0,4.9,5.0,4.95,
51448878,44.0,20.0,4.1,3.8,4.08,
899499536510963169,85.6,125.0,4.3,4.7,4.0,
802169003883068994,90.0,100.0,4.8,4.9,4.81,
51392414,0.4,225.0,4.9,5.0,5.0,
576918727967019012,102.0,75.0,4.9,4.9,4.91,
53310185,94.4,50.0,5.0,5.0,4.93,
47098425,49.0,19.0,4.8,4.8,4.81,
873943691498043291,37.0,25.0,5.0,5.0,5.0,
725349796927414546,119.8,110.0,4.7,5.0,4.93,
660200166532864780,63.2,30.0,5.0,5.0,4.93,
565169694395579485,90.0,150.0,4.5,4.7,4.58,
51887129,0.14285714285714285,123.0,4.9,4.9,4.94,
40800507,64.2,50.0,4.8,4.5,4.75,"['Gather used towels', 'Throw trash away', 'Turn things off', 'Return keys', 'Additional requests - Check to make sure you have everything.\nLet me know about any damage or stained linens/towels.']"
686536884593357708,0.2,175.0,4.7,4.9,5.0,
759286599084077219,106.2,120.0,5.0,5.0,5.0,
821015898388974685,162.6,185.0,5.0,4.8,5.0,
805953308278069282,113.8,65.0,,,,
829707750950632203,150.0,50.0,5.0,5.0,5.0,
659645600773387421,0.2,95.0,4.6,4.7,4.68,
789067731845588181,74.6,50.0,5.0,5.0,4.75,
50171454,0.2,125.0,5.0,5.0,5.0,
914383976409105895,0.4,,,,,
670263829492292610,81.0,195.0,4.9,5.0,4.89,
53122977,134.66666666666666,79.0,4.5,4.7,4.81,
19025642,59.0,37.0,4.9,4.8,4.82,"['Gather used towels', 'Throw trash away', 'Turn things off', 'Lock up']"
898465007441528885,0.2,100.0,,,,"['Gather used towels', 'Throw trash away', 'Turn things off', 'Return keys', 'Lock up', 'Additional requests - Clean up. Remove all trash. Lights off']"
836051125041752732,151.2,130.0,3.9,4.1,4.13,
752440220830968137,97.4,100.0,4.7,4.6,4.71,
814583059941626425,162.2,150.0,5.0,5.0,5.0,
47238100,42.0,19.0,4.7,4.5,4.67,
820437453460026545,34.8,50.0,5.0,5.0,5.0,
37810645,107.0,247.0,4.5,4.1,4.6,
787854311439582734,32.6,25.0,4.8,4.5,4.5,
24763375,92.2,,4.8,4.6,4.63,
831389353103049067,182.0,,5.0,4.3,5.0,"['Gather used towels', 'Throw trash away', 'Lock up', 'Additional requests - Wash all dishes. Leave clean dishes in the dish rack on the kitchen counter.']"
23807960,81.2,20.0,4.9,4.8,4.78,"['Turn things off', 'Return keys', 'Additional requests - All dishes were clean upon arrival, please make sure any used are also clean for next guests.']"
617294713096247268,63.0,85.0,4.8,5.0,4.5,
36766292,198.0,150.0,4.9,5.0,4.97,
652971487052979077,0.2,30.0,4.8,5.0,4.95,
54344669,132.0,97.0,4.3,4.3,4.29,
890576034290251015,110.0,100.0,5.0,5.0,5.0,"['Gather used towels', 'Return keys', 'Additional requests - Leave used beds unmade so that housekeeper knows which beds were slept in.']"
13558398,105.0,20.0,5.0,4.9,4.96,
40702711,166.0,75.0,4.8,4.7,4.81,
53878045,82.0,50.0,4.2,4.4,4.34,
649914276411383047,77.0,25.0,4.8,4.8,4.73,
827072851827296669,121.2,49.0,4.8,5.0,4.91,
32124823,92.42857142857143,79.0,5.0,4.8,4.9,"['Gather used towels', 'Throw trash away', 'Turn things off']"
889065689392242882,161.83333333333334,109.0,,,,
905258380149208736,35.0,25.0,,,,
32191418,166.4,75.0,4.9,5.0,5.0,
909773678320287311,0.2,,,,,
22672584,78.0,25.0,4.8,4.9,4.7,
51712034,22.142857142857142,,4.8,4.6,4.77,
770288852216362090,172.4,75.0,5.0,4.9,5.0,"['Throw trash away', 'Turn things off', 'Lock up', 'Additional requests - Please wash, dry and put dishes away.']"
48912161,76.0,,5.0,5.0,4.98,['Turn things off']
53674787,0.2,50.0,4.9,5.0,5.0,['Additional requests - Please give me a heads up when you have checked out. Thanks! ']
655176501378064254,100.0,95.0,5.0,5.0,4.95,
906785818489324239,65.0,,,,,"['Gather used towels', 'Throw trash away', 'Turn things off', 'Return keys']"
929781353996252834,60.0,40.0,,,,
